Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si,mineral
0,0,0,177,0,6,2,74,5,0,FeSstd2
0,0,0,210,0,3,0,73,5,1,FeSstd2
0,2,0,204,0,7,0,59,5,0,FeSstd2
1,4,0,178,0,10,4,76,3,0,FeSstd2
0,0,0,172,0,4,0,74,2,0,FeSstd2
1,2,0,196,0,4,0,68,3,1,FeSstd2
0,0,0,192,0,6,3,76,3,3,FeSstd2
0,0,0,201,0,6,0,68,7,0,FeSstd2
0,2,2,186,0,4,2,76,5,1,FeSstd2
0,0,0,199,0,4,2,89,4,0,FeSstd2
0,0,3,214,0,2,2,72,3,0,FeSstd2
0,4,2,178,0,4,0,93,4,2,FeSstd2
0,0,0,213,0,4,3,95,2,2,FeSstd2
0,3,0,191,0,3,0,76,6,0,FeSstd2
0,2,0,179,2,8,0,79,5,4,FeSstd2
0,4,0,183,0,7,4,83,4,2,FeSstd2
1,4,0,200,2,6,3,72,3,0,FeSstd2
1,2,0,213,0,3,3,81,4,0,FeSstd2
0,0,0,194,0,5,0,79,3,0,FeSstd2
0,0,0,181,0,8,0,83,5,0,FeSstd2
0,0,0,198,0,6,3,76,4,0,FeSstd2
0,2,0,189,2,7,0,65,6,1,FeSstd2
0,3,0,209,0,6,3,84,4,0,FeSstd2
0,0,0,195,2,6,2,83,5,0,FeSstd2
0,2,0,203,0,8,0,85,3,0,FeSstd2
0,2,0,213,0,10,0,86,5,0,FeSstd2
0,2,0,181,0,5,3,79,8,2,FeSstd2
0,6,0,189,0,0,6,63,8,1,FeSstd2
0,7,0,190,0,10,0,85,3,2,FeSstd2
0,7,2,204,0,3,3,78,0,0,FeSstd2
0,3,0,202,0,9,2,67,5,0,FeSstd2
0,0,0,191,0,3,0,61,6,0,FeSstd2
0,2,0,216,0,4,2,68,3,1,FeSstd2
0,0,0,190,0,7,0,74,3,0,FeSstd2
0,0,0,190,0,7,0,71,2,0,FeSstd2
0,0,2,191,0,11,0,85,0,2,FeSstd2
0,2,0,186,0,8,4,74,4,0,FeSstd2
0,0,0,222,0,5,3,76,4,2,FeSstd2
0,0,0,194,0,11,0,75,5,1,FeSstd2
1,0,0,203,0,11,0,75,7,2,FeSstd2
0,2,3,204,0,8,3,68,6,5,FeSstd2
1,2,0,190,0,10,3,78,2,0,FeSstd2
2,4,0,191,0,4,3,69,2,1,FeSstd2
0,0,3,186,0,7,4,78,2,1,FeSstd2
0,0,0,198,0,3,6,84,4,0,FeSstd2
0,0,0,192,0,13,0,72,0,2,FeSstd2
0,0,0,193,0,8,2,85,3,0,FeSstd2
0,0,0,186,0,10,6,71,2,0,FeSstd2
0,0,0,204,0,7,3,75,5,1,FeSstd2
1,0,0,188,0,2,0,80,0,0,FeSstd2
0,0,0,203,0,6,0,78,2,1,FeSstd2
0,2,0,193,0,8,3,83,0,5,FeSstd2
0,2,0,221,0,6,2,66,4,0,FeSstd2
0,2,0,178,0,7,0,85,5,0,FeSstd2
0,3,0,204,0,6,3,69,2,0,FeSstd2
0,0,0,182,0,5,3,100,2,1,FeSstd2
0,3,0,188,0,5,0,73,5,1,FeSstd2
0,3,0,199,0,8,0,73,6,0,FeSstd2
0,0,0,203,0,8,0,77,5,0,FeSstd2
1,0,2,187,0,7,0,63,3,0,FeSstd2
0,2,0,185,0,4,2,72,3,1,FeSstd2
0,0,0,231,0,6,2,82,6,0,FeSstd2
1,0,2,215,0,7,0,74,3,2,FeSstd2
1,2,0,198,0,4,2,81,0,1,FeSstd2
0,0,0,190,0,5,0,88,5,3,FeSstd2
1,0,0,187,0,4,0,59,4,2,FeSstd2
0,0,0,186,0,6,0,68,2,0,FeSstd2
0,0,0,181,0,8,2,81,0,0,FeSstd2
0,0,2,202,0,9,0,77,0,0,FeSstd2
0,0,0,210,0,7,0,72,2,0,FeSstd2
1,2,2,223,0,6,2,78,3,1,FeSstd2
1,0,0,204,0,10,0,82,4,0,FeSstd2
0,3,0,224,2,5,4,75,2,0,FeSstd2
0,2,0,201,2,13,2,77,6,3,FeSstd2
0,0,0,204,0,10,0,87,2,3,FeSstd2
0,0,3,203,0,4,2,95,3,3,FeSstd2
0,0,0,196,0,5,0,83,0,0,FeSstd2
0,0,0,183,0,8,2,75,4,0,FeSstd2
0,0,2,201,0,4,0,77,4,2,FeSstd2
0,2,0,225,0,6,0,78,6,2,FeSstd2
0,3,0,202,2,5,2,95,4,0,FeSstd2
0,0,2,196,0,6,0,91,2,0,FeSstd2
1,0,0,207,0,10,2,80,4,0,FeSstd2
1,0,0,180,0,8,3,72,2,0,FeSstd2
0,0,3,212,0,7,0,75,2,0,FeSstd2
0,0,0,201,0,8,0,82,5,1,FeSstd2
0,0,0,188,0,7,0,80,6,1,FeSstd2
0,2,0,191,0,4,0,71,0,3,FeSstd2
0,0,0,204,0,13,3,94,4,0,FeSstd2
2,2,0,195,0,9,0,77,4,0,FeSstd2
0,0,0,213,0,6,2,70,2,2,FeSstd2
0,0,0,204,0,8,0,76,3,1,FeSstd2
0,0,0,188,0,10,0,67,3,0,FeSstd2
2,2,0,199,2,9,2,89,5,3,FeSstd2
0,2,0,210,0,6,0,74,2,0,FeSstd2
0,3,0,193,0,6,0,82,4,0,FeSstd2
0,0,0,207,0,5,3,54,6,3,FeSstd2
1,6,0,216,0,7,2,69,4,0,FeSstd2
0,5,0,198,0,8,0,72,4,1,FeSstd2
0,9,0,197,0,9,3,85,6,3,FeSstd2
0,3,0,191,0,7,0,63,0,1,FeSstd2
0,0,0,205,0,5,0,75,5,3,FeSstd2
0,0,3,203,2,4,2,73,2,0,FeSstd2
0,4,0,205,0,7,3,68,4,2,FeSstd2
1,0,0,205,0,3,0,80,5,0,FeSstd2
0,0,0,188,0,6,3,97,4,0,FeSstd2
0,3,0,196,2,5,2,71,2,2,FeSstd2
0,0,0,197,0,5,0,65,4,0,FeSstd2
0,2,0,203,0,5,0,79,3,0,FeSstd2
0,0,0,197,0,8,0,61,2,3,FeSstd2
0,0,0,197,0,10,0,82,2,1,FeSstd2
0,0,0,179,0,6,3,93,2,0,FeSstd2
0,0,0,182,0,6,0,72,2,0,FeSstd2
2,0,0,212,0,6,0,59,3,2,FeSstd2
0,0,0,193,0,10,2,80,4,2,FeSstd2
0,0,0,196,0,9,0,82,3,0,FeSstd2
0,0,0,167,0,2,3,80,4,2,FeSstd2
0,2,0,187,0,6,0,76,6,0,FeSstd2
0,3,0,186,0,9,2,76,0,1,FeSstd2
0,0,0,217,0,3,4,83,0,0,FeSstd2
1,3,3,176,0,8,0,77,6,1,FeSstd2
0,0,0,196,0,7,4,77,5,2,FeSstd2
0,3,0,174,2,6,0,73,0,1,FeSstd2
0,2,2,196,0,6,0,72,0,0,FeSstd2
0,4,0,187,0,6,2,76,2,1,FeSstd2
0,0,0,192,0,4,0,83,4,1,FeSstd2
0,0,0,190,0,7,3,79,4,3,FeSstd2
0,0,0,204,2,6,0,80,7,1,FeSstd2
0,0,4,193,0,11,2,79,4,2,FeSstd2
0,2,0,185,0,12,2,82,4,0,FeSstd2
0,0,0,187,0,9,0,79,3,1,FeSstd2
0,0,0,186,0,6,0,70,0,0,FeSstd2
0,0,0,201,0,6,0,87,2,1,FeSstd2
0,0,2,211,0,10,2,82,5,0,FeSstd2
0,2,0,185,0,7,2,72,5,0,FeSstd2
0,2,3,179,0,6,0,77,4,0,FeSstd2
0,0,0,187,0,5,2,86,4,1,FeSstd2
0,3,0,194,0,8,2,58,4,2,FeSstd2
0,2,0,226,2,9,4,78,6,0,FeSstd2
0,2,0,218,0,5,5,86,6,0,FeSstd2
0,0,0,217,0,5,4,79,4,0,FeSstd2
0,2,0,193,0,0,0,90,4,0,FeSstd2
0,2,0,195,4,6,2,58,2,0,FeSstd2
0,0,0,181,0,6,3,66,4,0,FeSstd2
0,2,0,178,3,5,3,102,3,3,FeSstd2
0,0,0,177,0,4,5,92,4,2,FeSstd2
0,2,0,177,0,5,2,82,4,1,FeSstd2
0,0,2,178,0,7,2,84,3,0,FeSstd2
0,2,0,210,0,6,0,91,0,2,FeSstd2
0,0,0,206,0,2,0,77,5,0,FeSstd2
1,3,0,205,0,8,0,84,5,2,FeSstd2
1,0,0,236,2,8,3,79,4,3,FeSstd2
0,0,0,215,0,11,0,76,4,0,FeSstd2
0,0,3,207,0,5,3,85,3,0,FeSstd2
3,3,0,178,0,5,2,99,5,0,FeSstd2
0,0,2,201,0,5,0,71,5,3,FeSstd2
1,2,0,213,0,7,2,72,3,1,FeSstd2
0,0,0,199,0,9,2,79,8,1,FeSstd2
0,0,0,177,2,8,3,86,6,0,FeSstd2
1,3,0,185,0,5,2,87,4,0,FeSstd2
0,0,0,218,0,8,3,82,2,0,FeSstd2
0,2,0,177,0,4,0,80,4,0,FeSstd2
0,0,2,205,0,6,2,77,2,2,FeSstd2
0,0,0,173,2,3,0,49,6,0,FeSstd2
0,0,3,203,0,9,0,77,2,3,FeSstd2
0,3,0,213,3,4,0,87,3,4,FeSstd2
1,3,2,181,2,6,7,66,0,0,FeSstd2
0,3,0,201,0,9,2,85,3,2,FeSstd2
0,2,0,186,0,8,2,73,3,0,FeSstd2
0,2,0,184,0,9,0,79,6,0,FeSstd2
0,0,0,174,0,4,2,76,2,1,FeSstd2
0,0,0,170,0,7,2,93,0,0,FeSstd2
0,0,0,162,2,3,0,86,2,4,FeSstd2
0,2,0,195,2,5,3,80,0,1,FeSstd2
1,0,0,215,0,5,3,89,5,1,FeSstd2
0,2,0,210,0,4,0,65,4,2,FeSstd2
0,0,0,200,0,5,3,83,4,1,FeSstd2
0,0,0,213,0,5,2,86,3,0,FeSstd2
0,3,2,181,0,13,0,50,4,2,FeSstd2
0,0,0,211,2,10,3,68,0,0,FeSstd2
0,2,0,201,0,6,2,77,0,0,FeSstd2
0,0,0,172,0,2,4,58,3,0,FeSstd2
0,2,0,216,0,9,0,73,3,1,FeSstd2
0,0,0,195,0,7,2,78,6,2,FeSstd2
1,0,0,186,0,4,0,86,0,0,FeSstd2
0,0,0,199,0,8,0,69,0,2,FeSstd2
0,0,3,184,0,4,2,77,3,0,FeSstd2
0,0,0,191,0,8,2,74,3,1,FeSstd2
0,2,0,185,0,7,4,73,7,1,FeSstd2
0,3,0,192,0,6,5,91,4,0,FeSstd2
0,2,0,198,0,3,0,84,3,0,FeSstd2
0,2,2,194,0,11,2,72,2,1,FeSstd2
1,0,0,202,2,7,2,80,3,0,FeSstd2
1,3,0,192,0,0,2,75,2,1,FeSstd2
0,0,2,192,0,6,0,81,8,0,FeSstd2
0,2,0,207,0,8,2,81,2,0,FeSstd2
0,2,0,190,0,6,0,89,3,0,FeSstd2
1,0,0,200,2,6,2,73,4,0,FeSstd2
0,0,0,187,0,8,2,86,5,1,FeSstd2
0,0,2,203,2,10,0,73,5,0,FeSstd2
0,0,0,199,0,4,0,67,5,1,FeSstd2
0,2,0,190,0,3,0,74,4,0,FeSstd2
0,0,0,190,0,10,2,71,4,3,FeSstd2
0,0,0,209,0,5,0,78,3,0,FeSstd2
0,0,0,176,0,9,4,72,3,0,FeSstd2
1,0,0,204,0,8,0,70,6,1,FeSstd2
0,0,0,197,0,5,3,66,4,1,FeSstd2
0,2,0,198,0,10,4,63,0,0,FeSstd2
1,0,0,189,0,8,0,67,3,0,FeSstd2
0,2,0,191,0,3,2,87,4,4,FeSstd2
0,0,0,202,0,6,0,81,2,0,FeSstd2
0,2,0,197,0,3,0,73,3,2,FeSstd2
0,0,0,220,0,6,2,83,2,5,FeSstd2
0,2,2,177,0,2,4,67,5,0,FeSstd2
0,3,0,206,0,5,0,68,2,0,FeSstd2
0,0,0,199,0,8,0,84,0,2,FeSstd2
0,4,0,191,0,6,0,77,5,2,FeSstd2
0,2,2,190,0,7,0,73,2,0,FeSstd2
1,0,0,213,0,4,0,75,3,1,FeSstd2
0,3,0,180,0,4,0,89,0,0,FeSstd2
0,2,0,206,0,8,2,78,0,0,FeSstd2
0,0,0,219,0,8,0,81,3,0,FeSstd2
1,2,0,206,0,6,2,67,4,1,FeSstd2
0,2,0,215,0,9,2,75,3,0,FeSstd2
0,2,0,186,0,8,0,63,4,0,FeSstd2
0,0,3,217,0,5,0,86,2,1,FeSstd2
0,0,0,199,0,7,0,78,6,0,FeSstd2
0,3,0,202,0,17,2,84,4,1,FeSstd2
0,0,2,183,0,11,2,71,2,1,FeSstd2
0,0,0,214,0,6,0,90,3,0,FeSstd2
0,0,0,195,2,7,2,89,2,2,FeSstd2
0,0,0,207,0,4,2,83,3,1,FeSstd2
0,0,0,189,0,6,3,79,7,0,FeSstd2
0,0,0,186,0,6,0,76,3,0,FeSstd2
0,0,0,212,0,5,2,74,2,0,FeSstd2
1,0,0,188,0,6,0,73,2,2,FeSstd2
0,0,2,196,0,4,4,87,4,0,FeSstd2
0,2,0,197,0,10,0,83,0,2,FeSstd2
0,0,0,190,0,7,5,73,6,0,FeSstd2
1,0,0,198,0,7,2,82,2,1,FeSstd2
0,2,0,188,0,2,3,70,5,0,FeSstd2
0,2,0,198,0,5,3,86,3,1,FeSstd2
0,0,0,186,0,7,3,84,3,0,FeSstd2
0,0,0,192,0,5,3,54,3,2,FeSstd2
0,3,0,197,0,7,5,98,3,0,FeSstd2
0,2,0,188,0,5,0,85,3,0,FeSstd2
0,2,0,193,0,7,0,92,3,3,FeSstd2
0,2,0,214,0,3,3,83,5,0,FeSstd2
0,0,0,222,0,7,2,71,3,1,FeSstd2
0,0,0,197,0,6,0,77,7,0,FeSstd2
0,0,0,219,0,9,4,79,3,0,FeSstd2
0,5,3,177,0,10,0,84,4,0,FeSstd2
0,3,0,209,0,10,0,80,2,1,FeSstd2
0,0,0,197,2,9,3,72,2,0,FeSstd2
0,2,0,188,0,13,0,79,4,1,FeSstd2
0,3,0,173,2,7,0,80,4,0,FeSstd2
0,2,0,195,0,6,0,68,0,0,FeSstd2
1,0,0,180,3,0,2,75,9,1,FeSstd2
1,2,2,193,0,4,0,86,0,1,FeSstd2
0,0,2,203,0,4,2,82,2,0,FeSstd2
1,0,2,186,0,7,2,70,0,1,FeSstd2
0,0,0,199,0,14,3,68,3,0,FeSstd2
0,2,0,214,2,4,2,67,5,2,FeSstd2
0,0,0,189,0,6,0,70,4,0,FeSstd2
0,0,0,193,2,8,2,66,5,0,FeSstd2
0,0,0,178,2,4,2,73,5,1,FeSstd2
1,5,0,193,0,3,0,81,3,1,FeSstd2
0,2,0,197,0,4,2,77,3,0,FeSstd2
0,2,0,195,0,8,0,83,3,3,FeSstd2
1,0,0,206,0,4,2,75,10,1,FeSstd2
0,0,0,179,2,10,3,73,2,2,FeSstd2
0,2,0,169,0,6,3,70,5,3,FeSstd2
0,5,0,225,0,4,2,82,3,1,FeSstd2
0,0,0,202,2,7,3,84,8,3,FeSstd2
0,0,0,204,3,7,0,68,6,1,FeSstd2
0,0,0,183,0,4,0,93,5,0,FeSstd2
0,4,0,206,0,6,0,92,2,0,FeSstd2
0,0,0,236,0,6,2,94,4,0,FeSstd2
0,0,0,206,0,11,2,62,2,1,FeSstd2
0,0,0,209,0,6,0,80,2,2,FeSstd2
0,0,2,187,0,7,0,69,3,1,FeSstd2
2,2,2,210,2,5,0,69,5,1,FeSstd2
0,3,0,210,0,5,4,76,0,0,FeSstd2
0,3,0,199,0,8,0,76,5,0,FeSstd2
0,0,0,213,0,6,3,77,3,0,FeSstd2
0,0,0,186,0,8,0,84,3,0,FeSstd2
0,5,2,212,0,11,0,85,4,1,FeSstd2
1,0,0,217,0,3,0,78,0,0,FeSstd2
0,2,0,187,0,5,2,73,4,0,FeSstd2
0,0,0,208,0,10,3,78,3,3,FeSstd2
0,0,0,174,0,3,2,94,4,1,FeSstd2
0,0,2,187,2,2,2,85,0,0,FeSstd2
0,0,0,182,0,8,3,73,6,2,FeSstd2
0,2,0,205,0,6,2,83,4,0,FeSstd2
0,0,0,215,0,7,0,90,5,2,FeSstd2
0,0,0,197,0,9,0,65,6,3,FeSstd2
0,0,0,204,0,11,0,73,5,2,FeSstd2
0,2,0,212,0,7,5,70,2,3,FeSstd2
0,0,0,185,0,8,3,70,3,2,FeSstd2
0,0,0,173,0,7,0,91,0,0,FeSstd2
0,0,0,217,0,3,0,74,4,2,FeSstd2
0,0,0,174,2,4,0,59,3,0,FeSstd2
0,0,2,202,0,3,3,70,3,2,FeSstd2
1,0,0,203,0,6,3,89,5,0,FeSstd2
1,2,4,191,0,10,2,87,7,1,FeSstd2
0,4,0,205,2,3,3,69,3,0,FeSstd2
0,0,0,188,3,7,2,66,6,1,FeSstd2
0,0,0,192,0,6,3,88,4,0,FeSstd2
0,0,0,199,0,4,2,73,7,4,FeSstd2
0,0,0,210,0,9,4,75,3,3,FeSstd2
0,3,0,191,0,5,0,72,4,2,FeSstd2
0,2,0,186,0,7,4,71,3,2,FeSstd2
0,0,0,202,0,6,2,74,0,3,FeSstd2
0,0,0,199,0,2,3,80,2,1,FeSstd2
0,5,0,191,0,11,4,81,3,1,FeSstd2
0,2,0,184,0,10,0,74,2,0,FeSstd2
0,0,0,198,0,4,3,74,5,2,FeSstd2
0,0,0,176,2,7,0,85,2,2,FeSstd2
2,2,0,201,0,5,2,76,6,2,FeSstd2
0,0,0,227,0,3,2,75,2,0,FeSstd2
0,0,0,172,0,5,0,73,0,0,FeSstd2
0,0,0,199,2,5,3,67,4,0,FeSstd2
0,3,0,200,0,6,0,84,2,0,FeSstd2
0,2,0,211,0,8,2,89,4,1,FeSstd2
0,0,2,204,0,9,3,90,3,1,FeSstd2
0,0,0,200,0,5,2,86,5,1,FeSstd2
0,0,0,182,0,6,2,74,3,2,FeSstd2
0,2,0,223,0,3,0,67,7,2,FeSstd2
0,2,0,197,0,6,2,74,5,1,FeSstd2
0,0,2,199,0,5,2,69,4,0,FeSstd2
0,2,0,195,0,11,0,86,2,0,FeSstd2
0,0,0,201,0,9,2,72,9,0,FeSstd2
0,0,0,189,2,7,3,71,3,0,FeSstd2
0,2,2,192,2,7,0,86,4,0,FeSstd2
0,3,0,204,0,11,0,86,4,0,FeSstd2
0,0,2,190,0,7,3,80,5,0,FeSstd2
0,0,0,201,0,7,0,78,4,0,FeSstd2
0,0,0,182,0,10,0,78,0,1,FeSstd2
1,0,0,206,0,2,2,84,0,0,FeSstd2
0,3,0,191,0,7,2,67,3,2,FeSstd2
0,0,0,192,0,8,3,84,8,1,FeSstd2
0,0,0,196,3,12,3,91,0,4,FeSstd2
0,4,0,184,2,7,0,81,0,1,FeSstd2
0,2,0,189,0,3,4,75,4,0,FeSstd2
1,0,2,199,0,7,4,75,2,0,FeSstd2
0,3,0,187,0,5,0,63,2,2,FeSstd2
0,0,0,199,0,7,2,77,0,0,FeSstd2
0,2,0,199,0,5,0,85,3,0,FeSstd2
0,3,0,188,0,13,3,70,5,1,FeSstd2
0,0,0,185,0,9,0,62,8,2,FeSstd2
0,0,0,201,0,6,0,81,3,2,FeSstd2
0,2,0,177,0,8,0,79,3,2,FeSstd2
0,2,0,180,0,5,0,86,5,0,FeSstd2
0,2,0,177,0,6,0,80,4,0,FeSstd2
1,2,0,201,0,9,0,87,4,0,FeSstd2
0,0,0,208,0,7,2,73,3,0,FeSstd2
0,2,0,191,0,6,5,68,0,0,FeSstd2
0,0,0,195,0,4,4,81,2,0,FeSstd2
0,0,0,206,0,9,2,69,0,0,FeSstd2
0,0,0,169,0,6,2,92,8,1,FeSstd2
0,4,0,180,0,9,2,74,4,0,FeSstd2
0,0,0,200,2,7,0,70,5,1,FeSstd2
0,2,4,193,2,6,2,72,6,1,FeSstd2
0,0,0,184,0,7,2,86,5,0,FeSstd2
1,0,0,208,0,10,0,77,4,0,FeSstd2
0,3,0,172,0,6,0,71,3,0,FeSstd2
0,2,4,195,0,4,2,80,4,1,FeSstd2
0,0,2,227,4,3,4,78,4,0,FeSstd2
1,4,2,215,0,2,3,75,3,1,FeSstd2
0,0,3,200,0,6,0,71,3,0,FeSstd2
1,0,0,185,2,4,2,81,6,2,FeSstd2
0,3,0,201,2,6,0,87,7,0,FeSstd2
0,0,2,194,0,7,0,94,2,0,FeSstd2
0,0,0,192,0,9,4,69,4,3,FeSstd2
0,0,0,204,2,13,4,75,0,0,FeSstd2
0,4,0,175,3,2,3,78,0,0,FeSstd2
0,2,0,212,0,8,2,82,3,0,FeSstd2
0,2,0,238,0,7,0,68,5,0,FeSstd2
0,0,0,208,0,7,4,79,3,0,FeSstd2
0,0,0,192,0,8,5,82,2,1,FeSstd2
0,0,3,192,0,9,3,76,5,0,FeSstd2
0,0,0,201,0,7,0,81,4,1,FeSstd2
0,4,0,192,0,5,0,86,3,1,FeSstd2
0,0,0,207,0,4,2,76,4,1,FeSstd2
1,0,2,220,0,6,0,95,5,0,FeSstd2
0,0,0,201,0,5,2,67,4,1,FeSstd2
0,2,0,195,2,11,2,71,3,0,FeSstd2
1,2,0,204,2,5,2,96,3,1,FeSstd2
0,0,0,188,0,8,4,83,2,0,FeSstd2
1,0,0,189,0,8,0,88,2,0,FeSstd2
0,0,0,199,0,5,3,77,6,0,FeSstd2
0,0,2,176,2,7,3,91,6,1,FeSstd2
0,2,0,210,0,11,2,62,8,4,FeSstd2
0,4,2,193,0,4,2,79,4,2,FeSstd2
0,0,0,196,0,7,0,94,2,0,FeSstd2
0,2,0,201,0,3,0,77,6,0,FeSstd2
0,0,0,211,0,3,2,83,3,1,FeSstd2
0,2,0,222,0,5,0,81,3,1,FeSstd2
0,2,0,173,0,6,0,75,4,2,FeSstd2
0,0,0,200,0,4,0,83,3,0,FeSstd2
0,3,0,184,0,4,2,83,2,5,FeSstd2
0,0,0,178,0,8,0,79,3,1,FeSstd2
0,0,4,198,2,7,0,76,3,0,FeSstd2
0,3,2,190,0,10,0,88,6,0,FeSstd2
0,0,0,190,0,2,0,66,3,2,FeSstd2
0,3,0,191,2,8,0,71,5,0,FeSstd2
0,3,0,215,0,5,2,83,4,0,FeSstd2
1,0,2,210,0,6,0,63,2,1,FeSstd2
0,0,0,214,0,5,0,68,2,1,FeSstd2
1,0,0,201,2,6,0,71,2,1,FeSstd2
0,0,0,202,3,4,0,75,3,0,FeSstd2
0,0,3,202,2,6,0,76,0,3,FeSstd2
1,0,0,168,0,4,3,77,0,2,FeSstd2
0,0,2,216,0,7,0,91,2,0,FeSstd2
0,0,0,179,0,5,0,74,4,2,FeSstd2
2,3,0,190,0,4,0,76,3,1,FeSstd2
0,3,0,180,0,8,0,71,7,0,FeSstd2
0,0,2,194,0,13,2,73,2,0,FeSstd2
0,0,0,200,0,4,0,77,2,0,FeSstd2
1,2,0,211,0,10,0,80,5,1,FeSstd2
1,0,2,194,0,9,3,65,6,0,FeSstd2
0,0,0,200,2,6,0,75,4,0,FeSstd2
0,2,0,191,2,7,2,68,3,0,FeSstd2
0,2,2,212,0,6,2,54,5,0,FeSstd2
0,0,0,186,0,8,2,80,4,0,FeSstd2
0,5,0,199,2,0,2,73,4,1,FeSstd2
0,0,0,193,0,13,0,85,2,0,FeSstd2
0,5,0,201,0,6,0,75,0,0,FeSstd2
1,0,2,197,0,7,0,72,0,0,FeSstd2
0,0,0,216,0,4,3,68,2,2,FeSstd2
1,2,0,215,0,3,5,59,7,1,FeSstd2
0,2,0,180,0,7,0,81,3,1,FeSstd2
0,0,0,193,0,7,2,79,5,0,FeSstd2
0,0,2,178,0,8,0,73,4,0,FeSstd2
1,0,0,198,0,5,2,81,9,3,FeSstd2
0,2,4,199,0,7,0,78,5,0,FeSstd2
1,2,0,184,0,0,2,74,0,0,FeSstd2
0,0,0,195,0,2,2,63,0,2,FeSstd2
0,3,2,217,0,6,4,82,3,0,FeSstd2
0,0,0,193,0,7,2,89,8,0,FeSstd2
0,3,0,213,0,5,2,97,6,0,FeSstd2
0,2,0,201,0,7,3,76,0,1,FeSstd2
0,0,0,201,0,6,2,65,5,2,FeSstd2
0,0,0,187,0,8,0,77,2,0,FeSstd2
0,2,0,193,0,6,0,70,2,1,FeSstd2
0,0,0,187,2,5,0,69,0,1,FeSstd2
0,2,0,200,0,4,5,86,7,0,FeSstd2
0,0,0,207,0,15,0,73,2,1,FeSstd2
0,2,2,198,0,9,0,82,3,0,FeSstd2
0,0,2,226,0,2,0,81,4,0,FeSstd2
0,0,3,194,0,3,3,68,3,0,FeSstd2
0,3,0,195,2,8,0,83,2,5,FeSstd2
0,0,0,194,0,6,0,78,4,1,FeSstd2
0,0,0,205,0,7,0,74,3,1,FeSstd2
0,2,0,196,0,9,2,86,2,1,FeSstd2
0,2,2,218,0,6,2,75,7,3,FeSstd2
0,0,0,197,0,10,0,70,5,2,FeSstd2
0,0,0,185,2,8,0,75,5,0,FeSstd2
0,3,0,202,0,6,0,77,3,1,FeSstd2
0,2,0,211,0,9,2,65,3,1,FeSstd2
0,0,0,178,0,11,3,67,4,0,FeSstd2
0,0,3,183,0,10,0,74,4,1,FeSstd2
0,0,0,186,0,12,0,79,6,1,FeSstd2
1,2,0,183,0,9,0,72,3,0,FeSstd2
0,2,3,181,0,2,0,77,0,3,FeSstd2
0,0,2,199,2,7,2,63,3,0,FeSstd2
0,0,0,191,0,3,2,75,5,0,FeSstd2
0,0,0,202,2,7,0,82,6,1,FeSstd2
1,0,0,199,0,4,2,83,4,2,FeSstd2
0,3,0,189,0,5,0,69,3,1,FeSstd2
0,4,0,184,0,5,2,73,4,2,FeSstd2
0,2,3,214,0,5,0,89,5,0,FeSstd2
0,2,2,210,0,5,0,70,0,0,FeSstd2
0,2,0,176,2,3,3,72,0,1,FeSstd2
0,0,0,187,0,7,0,70,4,0,FeSstd2
0,3,0,196,0,0,2,75,3,1,FeSstd2
1,4,0,195,0,7,2,72,0,1,FeSstd2
0,2,0,178,0,2,2,76,0,0,FeSstd2
1,0,0,188,0,7,4,81,3,1,FeSstd2
0,0,0,198,0,5,0,93,4,1,FeSstd2
1,2,0,204,0,9,3,77,10,0,FeSstd2
0,2,0,172,0,3,4,74,0,0,FeSstd2
0,2,0,202,3,4,2,71,6,0,FeSstd2
0,2,0,182,0,7,0,74,4,0,FeSstd2
0,0,2,194,0,8,0,91,5,0,FeSstd2
0,2,0,199,0,6,0,81,4,1,FeSstd2
3,2,0,216,0,0,0,77,4,3,FeSstd2
0,0,0,189,0,6,3,76,4,1,FeSstd2
0,2,0,202,0,5,0,86,5,0,FeSstd2
0,0,0,184,0,13,0,80,0,2,FeSstd2
2,0,0,179,0,8,0,92,2,1,FeSstd2
0,3,0,206,0,9,0,82,2,0,FeSstd2
0,2,0,190,0,9,3,58,3,3,FeSstd2
2,3,0,208,0,11,2,88,6,0,FeSstd2
0,5,0,190,0,5,2,76,2,0,FeSstd2
0,0,0,198,3,8,2,85,0,0,FeSstd2
0,3,0,190,0,5,0,98,3,0,FeSstd2
0,2,0,183,0,5,0,73,3,2,FeSstd2
0,0,0,196,2,5,0,72,0,0,FeSstd2
0,4,0,198,0,6,0,79,4,2,FeSstd2
0,2,0,197,0,6,2,81,5,0,FeSstd2
0,0,0,206,0,5,2,75,6,0,FeSstd2
0,2,0,218,0,7,0,60,4,3,FeSstd2
0,0,0,190,0,9,3,99,3,1,FeSstd2
0,0,0,197,0,6,0,75,0,0,FeSstd2
0,2,0,197,0,5,3,92,0,0,FeSstd2
0,0,0,187,0,7,3,73,6,0,FeSstd2
0,0,0,190,0,3,2,79,6,2,FeSstd2
0,0,0,207,0,5,3,74,3,0,FeSstd2
1,0,2,186,0,8,0,86,5,3,FeSstd2
0,0,0,173,2,7,3,92,4,0,FeSstd2
0,0,0,207,0,8,0,94,8,0,FeSstd2
0,0,0,199,0,7,7,82,3,0,FeSstd2
0,2,0,210,0,6,2,77,6,0,FeSstd2
1,0,4,198,0,7,3,68,5,1,FeSstd2
1,2,0,184,0,8,0,81,6,0,FeSstd2
0,3,0,196,0,9,0,78,3,0,FeSstd2
