Ca,Fe,Mg,Ni,S,Si,Ti,mineral
0,219,0,0,82,2,1,Troilite
0,212,0,2,80,1,0,Troilite
0,228,0,2,76,0,1,Troilite
0,251,0,0,71,1,5,Troilite
0,117,0,0,82,0,2,Troilite
2,151,0,0,82,2,5,Troilite
1,288,0,0,103,0,3,Troilite
0,227,0,0,72,1,3,Troilite
0,127,0,0,91,1,3,Troilite
0,138,0,1,77,2,4,Troilite
0,191,0,2,71,0,0,Troilite
0,471,0,0,65,1,4,Troilite
0,220,0,2,71,2,4,Troilite
0,202,0,0,64,2,2,Troilite
0,372,0,0,87,0,4,Troilite
1,100,0,1,69,1,1,Troilite
0,303,0,1,69,0,3,Troilite
0,133,0,0,62,0,3,Troilite
0,161,0,0,73,0,2,Troilite
0,134,0,1,87,0,0,Troilite
0,248,0,0,61,0,4,Troilite
0,153,0,0,85,0,3,Troilite
0,76,0,0,88,1,4,Troilite
0,286,0,0,75,0,0,Troilite
0,270,0,0,73,0,6,Troilite
1,128,0,2,65,2,1,Troilite
0,266,0,2,74,0,5,Troilite
0,3,0,0,73,2,5,Troilite
0,80,0,0,63,1,4,Troilite
0,158,0,0,74,0,3,Troilite
0,226,0,0,63,0,2,Troilite
0,257,0,0,84,0,4,Troilite
0,149,0,0,71,0,5,Troilite
0,222,0,1,79,1,4,Troilite
0,172,0,1,71,1,4,Troilite
0,134,0,1,76,1,4,Troilite
0,220,0,0,84,0,5,Troilite
0,419,0,0,73,2,0,Troilite
2,210,0,3,80,3,4,Troilite
0,224,0,0,91,0,3,Troilite
0,204,0,0,57,0,6,Troilite
0,185,0,0,58,1,5,Troilite
0,277,0,0,72,0,0,Troilite
1,181,0,0,78,0,2,Troilite
0,196,0,0,69,0,2,Troilite
0,214,0,1,66,1,3,Troilite
2,146,0,1,79,1,1,Troilite
0,160,0,0,85,1,0,Troilite
0,315,1,2,82,0,0,Troilite
0,204,0,1,72,2,0,Troilite
0,230,0,0,76,0,2,Troilite
0,251,0,0,85,3,4,Troilite
0,370,0,0,83,2,6,Troilite
2,146,0,0,74,1,0,Troilite
0,283,0,1,92,0,4,Troilite
0,284,0,2,83,0,5,Troilite
0,245,0,1,68,0,4,Troilite
1,140,0,0,65,0,7,Troilite
0,236,0,0,67,1,2,Troilite
0,333,0,0,82,1,4,Troilite
1,146,0,2,93,0,4,Troilite
0,221,0,1,80,3,0,Troilite
1,461,0,0,75,2,4,Troilite
0,162,0,0,73,0,5,Troilite
1,0,0,3,87,3,7,Troilite
0,169,0,1,67,0,4,Troilite
1,53,0,3,65,0,5,Troilite
0,342,0,1,80,0,3,Troilite
0,147,0,0,62,0,3,Troilite
0,75,0,0,73,1,5,Troilite
1,169,0,2,78,0,4,Troilite
0,176,0,0,58,3,5,Troilite
0,178,0,0,66,0,1,Troilite
0,159,0,1,79,1,2,Troilite
0,258,0,0,66,3,4,Troilite
0,168,0,2,69,0,3,Troilite
0,234,0,0,80,0,3,Troilite
0,205,0,1,71,1,3,Troilite
0,349,0,0,85,2,3,Troilite
0,127,0,0,64,1,3,Troilite
0,251,0,2,67,0,7,Troilite
0,127,0,0,83,0,4,Troilite
1,220,0,2,87,0,4,Troilite
0,404,0,1,61,0,5,Troilite
1,333,0,0,88,0,6,Troilite
0,352,0,2,75,0,3,Troilite
0,96,0,1,60,0,1,Troilite
0,183,0,0,80,1,5,Troilite
0,257,0,1,69,1,5,Troilite
0,100,0,0,78,0,6,Troilite
0,144,0,1,87,0,1,Troilite
0,248,0,2,74,1,5,Troilite
0,262,0,2,79,2,0,Troilite
0,318,0,1,73,3,0,Troilite
0,207,0,1,77,1,4,Troilite
0,38,0,2,83,0,1,Troilite
0,0,0,0,83,3,1,Troilite
0,208,0,0,82,2,3,Troilite
1,102,0,0,74,0,1,Troilite
0,246,0,0,81,2,4,Troilite
0,116,0,0,61,0,4,Troilite
0,203,0,0,67,0,3,Troilite
0,199,0,1,66,0,5,Troilite
0,147,0,2,73,0,4,Troilite
0,186,0,0,64,2,7,Troilite
0,209,0,0,82,1,0,Troilite
0,368,0,1,76,1,0,Troilite
1,142,0,1,63,0,0,Troilite
1,157,0,3,83,2,3,Troilite
0,66,0,0,74,0,6,Troilite
0,268,0,0,65,2,7,Troilite
1,62,0,0,84,0,7,Troilite
1,252,0,0,75,2,5,Troilite
0,139,0,3,75,2,1,Troilite
0,229,0,2,89,0,5,Troilite
1,272,0,0,77,0,4,Troilite
0,163,0,0,72,2,4,Troilite
0,233,0,1,74,0,3,Troilite
0,234,0,1,80,0,2,Troilite
0,188,0,1,77,0,2,Troilite
0,2,0,0,66,0,6,Troilite
0,191,0,0,70,1,1,Troilite
0,59,0,2,78,1,2,Troilite
0,228,0,0,84,0,2,Troilite
1,204,0,2,85,2,6,Troilite
0,253,0,0,68,0,2,Troilite
0,334,0,0,94,0,5,Troilite
1,358,0,3,79,0,5,Troilite
0,212,0,2,75,0,0,Troilite
0,170,0,1,75,1,4,Troilite
0,85,0,1,70,0,1,Troilite
0,329,1,1,73,0,2,Troilite
0,290,0,2,77,1,0,Troilite
0,172,0,0,68,1,2,Troilite
0,300,0,0,89,0,2,Troilite
0,47,0,1,89,2,1,Troilite
0,111,0,1,74,3,4,Troilite
0,286,0,0,75,1,4,Troilite
0,198,0,2,56,0,6,Troilite
2,63,0,0,69,0,5,Troilite
1,239,0,0,82,2,0,Troilite
2,258,0,2,86,0,1,Troilite
0,452,0,0,63,2,3,Troilite
0,303,0,0,86,0,5,Troilite
0,145,0,0,72,4,5,Troilite
0,370,0,1,66,1,3,Troilite
0,183,0,0,82,2,8,Troilite
0,498,0,1,80,2,6,Troilite
0,173,0,1,66,0,0,Troilite
0,285,0,0,76,0,3,Troilite
0,346,0,0,84,0,5,Troilite
0,270,0,0,64,0,4,Troilite
0,266,0,0,80,1,6,Troilite
0,228,0,0,67,1,3,Troilite
0,195,0,0,70,0,5,Troilite
0,31,0,1,85,0,1,Troilite
0,192,0,0,62,0,4,Troilite
0,87,0,0,70,0,6,Troilite
0,199,0,1,78,1,3,Troilite
0,283,0,1,76,0,1,Troilite
0,456,0,0,62,1,7,Troilite
0,14,0,1,71,0,3,Troilite
1,304,0,1,77,0,5,Troilite
0,249,0,3,87,2,0,Troilite
0,0,0,1,67,0,5,Troilite
0,282,0,1,85,2,6,Troilite
0,105,0,0,76,0,2,Troilite
0,44,0,0,86,1,5,Troilite
0,299,1,0,96,0,0,Troilite
0,168,0,0,74,0,4,Troilite
0,208,0,0,74,1,4,Troilite
0,350,0,0,66,0,6,Troilite
0,175,0,1,85,2,5,Troilite
0,333,0,0,65,1,3,Troilite
0,0,0,0,85,3,4,Troilite
0,388,0,1,72,0,1,Troilite
0,59,0,0,82,0,4,Troilite
0,82,0,0,81,1,2,Troilite
1,223,0,2,58,0,2,Troilite
0,291,0,0,72,1,5,Troilite
0,133,0,0,85,0,4,Troilite
0,155,0,0,77,0,4,Troilite
0,49,0,0,76,0,2,Troilite
0,185,0,0,90,1,1,Troilite
0,166,0,1,85,0,7,Troilite
0,210,0,0,74,0,3,Troilite
0,343,0,0,73,2,5,Troilite
0,113,0,0,72,1,0,Troilite
1,237,0,0,74,2,6,Troilite
0,138,0,4,81,2,3,Troilite
0,444,0,0,77,1,2,Troilite
0,6,0,0,84,1,8,Troilite
1,337,0,0,74,2,2,Troilite
0,229,0,0,58,0,3,Troilite
0,5,0,1,68,0,2,Troilite
0,201,0,0,75,0,1,Troilite
1,29,0,0,77,1,6,Troilite
0,299,0,2,85,0,2,Troilite
0,209,0,0,66,1,4,Troilite
0,170,0,0,68,0,3,Troilite
0,185,0,1,71,1,4,Troilite
1,141,0,0,72,0,6,Troilite
0,251,0,0,75,0,5,Troilite
0,308,0,1,66,1,6,Troilite
2,202,0,2,80,1,4,Troilite
0,76,0,0,76,0,3,Troilite
0,31,0,2,99,0,5,Troilite
0,111,0,2,91,0,4,Troilite
0,208,0,0,58,0,3,Troilite
0,330,0,4,71,2,8,Troilite
0,223,0,0,81,1,5,Troilite
0,152,0,0,69,1,2,Troilite
0,77,0,0,80,1,1,Troilite
0,38,1,0,74,1,3,Troilite
0,355,0,2,72,1,3,Troilite
0,237,0,1,64,4,0,Troilite
0,0,0,2,90,1,5,Troilite
0,308,0,0,83,3,3,Troilite
0,277,0,0,80,2,6,Troilite
0,177,0,0,81,1,1,Troilite
1,330,0,0,84,1,3,Troilite
0,20,0,0,77,0,6,Troilite
0,365,0,1,70,0,4,Troilite
0,303,0,0,88,0,0,Troilite
0,258,0,0,73,1,4,Troilite
0,252,0,0,78,0,5,Troilite
1,153,0,1,61,0,6,Troilite
0,75,0,0,71,0,0,Troilite
0,187,0,0,73,1,0,Troilite
0,37,0,1,72,2,2,Troilite
0,104,0,1,63,1,2,Troilite
0,74,0,1,77,1,7,Troilite
0,0,0,1,92,0,1,Troilite
0,85,0,0,78,4,2,Troilite
1,138,1,2,83,1,5,Troilite
0,332,0,2,75,1,3,Troilite
0,152,0,3,80,4,4,Troilite
0,179,0,1,80,1,1,Troilite
0,166,0,0,93,2,5,Troilite
1,182,0,0,90,2,6,Troilite
0,288,0,2,68,0,3,Troilite
0,51,0,1,67,0,3,Troilite
0,478,0,0,62,1,6,Troilite
0,226,0,1,88,1,2,Troilite
1,159,0,0,67,0,3,Troilite
1,381,0,0,97,0,4,Troilite
0,376,0,0,80,0,2,Troilite
0,290,0,1,66,1,1,Troilite
0,228,0,0,78,1,3,Troilite
0,72,0,0,79,2,8,Troilite
0,351,0,0,85,0,3,Troilite
0,163,0,0,71,0,1,Troilite
2,23,0,0,70,1,3,Troilite
0,156,0,1,70,2,2,Troilite
0,356,0,1,89,0,3,Troilite
0,419,1,0,79,0,0,Troilite
0,175,1,2,78,0,6,Troilite
1,232,0,0,80,2,5,Troilite
0,166,0,1,72,0,1,Troilite
0,120,0,0,54,0,2,Troilite
0,143,0,0,78,2,4,Troilite
0,99,0,1,72,0,6,Troilite
0,65,0,0,66,0,4,Troilite
0,364,0,4,79,3,4,Troilite
0,257,0,0,75,2,0,Troilite
0,0,0,0,93,1,4,Troilite
0,153,0,0,73,0,0,Troilite
1,327,0,0,79,0,5,Troilite
1,234,0,0,66,1,1,Troilite
0,124,0,1,74,0,4,Troilite
1,305,0,3,88,0,8,Troilite
0,200,0,0,74,1,5,Troilite
2,105,0,0,84,1,2,Troilite
0,367,0,0,101,1,1,Troilite
1,77,0,0,73,2,3,Troilite
0,337,0,0,90,2,4,Troilite
0,79,0,1,67,2,2,Troilite
0,234,0,0,66,0,8,Troilite
0,158,0,0,83,0,0,Troilite
1,291,0,0,84,0,6,Troilite
0,232,0,0,101,1,1,Troilite
1,226,0,1,78,0,3,Troilite
0,218,0,0,82,1,4,Troilite
0,344,0,0,68,1,1,Troilite
0,231,0,0,88,1,4,Troilite
0,179,0,0,67,1,6,Troilite
0,37,0,0,63,0,3,Troilite
0,206,0,0,79,1,3,Troilite
0,23,0,0,69,0,4,Troilite
1,149,0,0,74,0,1,Troilite
0,335,0,0,65,0,1,Troilite
0,0,0,0,55,0,4,Troilite
0,219,0,2,70,0,5,Troilite
0,120,0,0,90,0,4,Troilite
0,203,0,0,69,2,5,Troilite
0,226,0,0,72,1,2,Troilite
1,218,0,0,80,2,3,Troilite
0,353,0,0,94,2,2,Troilite
1,205,0,0,58,0,1,Troilite
0,133,0,1,72,1,6,Troilite
0,155,0,4,91,1,5,Troilite
0,348,0,0,87,0,6,Troilite
0,213,0,0,83,0,3,Troilite
0,182,0,0,68,0,5,Troilite
1,94,0,0,93,0,4,Troilite
0,175,0,1,71,1,2,Troilite
1,146,0,0,71,1,5,Troilite
0,246,0,0,77,0,0,Troilite
1,34,0,0,64,0,0,Troilite
0,323,0,1,85,2,7,Troilite
0,292,0,0,86,0,1,Troilite
1,72,0,0,75,0,6,Troilite
0,124,0,2,67,0,3,Troilite
0,158,0,0,82,1,6,Troilite
1,289,0,0,74,2,9,Troilite
0,76,0,0,75,2,5,Troilite
0,190,0,0,74,0,5,Troilite
0,133,0,1,88,0,1,Troilite
0,405,0,0,67,2,3,Troilite
0,327,0,1,66,0,2,Troilite
0,320,0,0,71,2,2,Troilite
0,262,0,0,70,0,2,Troilite
0,241,0,0,80,0,1,Troilite
0,80,0,3,71,0,2,Troilite
0,314,0,1,85,0,9,Troilite
0,120,0,0,74,2,3,Troilite
0,204,0,0,83,1,3,Troilite
0,243,0,0,60,0,0,Troilite
1,185,0,0,68,0,3,Troilite
0,270,0,1,76,2,3,Troilite
0,137,0,1,101,0,2,Troilite
0,82,0,2,80,0,3,Troilite
0,213,0,0,73,1,4,Troilite
0,390,0,1,74,1,4,Troilite
0,439,0,0,75,2,2,Troilite
0,358,0,1,77,0,2,Troilite
0,0,0,1,85,0,3,Troilite
0,213,0,1,83,2,0,Troilite
0,132,0,0,59,1,2,Troilite
0,275,0,0,66,0,6,Troilite
0,0,0,3,72,0,4,Troilite
0,420,0,1,68,1,0,Troilite
0,79,0,2,83,2,4,Troilite
0,301,0,0,92,0,6,Troilite
0,109,0,1,69,0,1,Troilite
1,169,0,0,82,0,2,Troilite
0,354,0,0,74,0,8,Troilite
0,425,0,1,73,0,5,Troilite
0,268,0,0,73,0,6,Troilite
0,41,0,0,72,2,3,Troilite
0,195,0,0,66,1,0,Troilite
0,153,0,2,89,2,6,Troilite
0,69,0,1,61,2,0,Troilite
1,22,0,1,76,0,5,Troilite
1,66,0,0,73,3,2,Troilite
0,440,0,0,90,0,1,Troilite
1,279,0,1,81,0,3,Troilite
0,155,0,2,71,0,4,Troilite
0,112,1,0,77,0,1,Troilite
0,151,0,0,76,0,2,Troilite
0,210,0,0,57,1,3,Troilite
0,174,0,1,77,3,3,Troilite
0,286,0,0,81,0,6,Troilite
0,159,0,2,85,0,5,Troilite
0,210,0,0,68,0,0,Troilite
0,246,0,2,76,1,2,Troilite
0,99,0,1,72,1,4,Troilite
0,244,0,2,66,0,0,Troilite
0,405,0,0,69,2,1,Troilite
1,153,0,0,79,0,2,Troilite
0,22,0,0,81,1,3,Troilite
0,259,0,0,66,0,6,Troilite
0,239,0,1,84,0,4,Troilite
1,168,0,1,103,2,3,Troilite
0,289,0,0,77,1,7,Troilite
0,357,0,0,85,0,3,Troilite
1,203,0,0,83,0,7,Troilite
0,64,1,0,63,1,3,Troilite
0,245,0,0,73,0,5,Troilite
0,17,0,0,67,0,2,Troilite
0,204,0,0,73,0,6,Troilite
0,198,0,1,70,3,3,Troilite
0,147,0,1,82,0,7,Troilite
0,0,0,2,88,0,5,Troilite
0,295,0,2,59,1,5,Troilite
0,71,0,1,65,1,5,Troilite
0,0,0,1,90,0,0,Troilite
0,34,0,0,88,0,0,Troilite
1,244,0,1,74,1,2,Troilite
0,216,0,0,69,0,4,Troilite
0,90,0,0,67,1,4,Troilite
1,313,0,0,83,0,2,Troilite
0,200,0,0,70,0,4,Troilite
0,189,0,2,82,0,7,Troilite
1,219,0,0,75,2,4,Troilite
0,106,0,0,62,0,6,Troilite
0,288,0,0,87,0,1,Troilite
0,320,0,0,82,0,0,Troilite
0,309,0,0,72,0,0,Troilite
0,187,0,0,80,0,2,Troilite
0,186,0,2,73,0,1,Troilite
0,103,0,1,89,0,7,Troilite
0,203,0,1,79,1,0,Troilite
1,324,0,0,84,2,3,Troilite
0,287,0,0,94,0,4,Troilite
1,137,0,0,72,0,1,Troilite
0,166,0,0,67,0,4,Troilite
0,350,0,0,87,3,0,Troilite
0,212,0,3,73,3,2,Troilite
0,131,0,0,78,2,2,Troilite
0,193,0,1,70,1,6,Troilite
0,236,0,0,83,0,4,Troilite
1,244,0,0,82,2,1,Troilite
0,54,0,0,80,2,5,Troilite
0,225,0,0,62,1,0,Troilite
0,120,0,0,75,1,2,Troilite
0,218,0,1,68,0,5,Troilite
0,148,0,0,73,2,4,Troilite
0,203,0,2,69,0,1,Troilite
0,190,0,1,81,2,8,Troilite
0,220,0,0,85,0,4,Troilite
0,100,0,0,73,2,1,Troilite
0,165,0,0,85,0,2,Troilite
0,156,0,0,66,2,1,Troilite
0,195,0,0,89,2,2,Troilite
0,49,0,0,79,0,3,Troilite
0,246,0,0,79,1,2,Troilite
0,195,0,1,88,1,0,Troilite
0,93,0,1,83,2,4,Troilite
0,203,0,0,81,1,5,Troilite
0,397,0,0,81,1,1,Troilite
0,233,0,1,64,1,6,Troilite
1,82,0,2,76,2,2,Troilite
0,262,0,2,65,0,1,Troilite
0,283,0,1,82,1,2,Troilite
0,243,0,0,66,0,5,Troilite
1,414,0,1,76,1,1,Troilite
1,262,0,1,71,0,5,Troilite
1,81,0,0,64,2,7,Troilite
0,335,0,0,64,1,2,Troilite
0,221,0,0,75,0,3,Troilite
0,67,0,0,86,0,5,Troilite
0,137,0,2,64,1,2,Troilite
0,252,0,0,87,0,2,Troilite
0,278,0,0,81,0,2,Troilite
0,242,0,1,74,2,1,Troilite
0,179,0,1,70,1,0,Troilite
0,248,0,0,75,0,2,Troilite
0,347,0,2,77,1,4,Troilite
0,284,0,2,87,0,3,Troilite
1,340,0,2,89,0,5,Troilite
0,328,0,0,78,0,3,Troilite
0,136,0,2,77,0,0,Troilite
0,168,0,0,68,0,5,Troilite
0,245,0,2,82,1,2,Troilite
0,261,0,0,71,1,5,Troilite
0,199,0,0,77,0,4,Troilite
0,374,0,0,61,1,4,Troilite
1,392,0,0,63,0,0,Troilite
0,192,0,0,74,2,2,Troilite
0,173,0,0,75,0,2,Troilite
0,0,0,0,74,0,0,Troilite
0,240,0,1,86,1,2,Troilite
0,133,0,0,79,0,4,Troilite
0,143,0,0,76,0,1,Troilite
0,151,0,0,76,0,0,Troilite
0,211,0,0,84,0,7,Troilite
0,32,0,2,77,1,1,Troilite
0,355,0,0,66,0,0,Troilite
0,0,0,1,79,2,0,Troilite
0,245,0,0,74,1,2,Troilite
0,177,0,2,56,0,4,Troilite
0,409,0,0,75,1,0,Troilite
1,51,0,0,78,1,5,Troilite
0,63,0,0,74,1,2,Troilite
0,392,0,0,93,0,4,Troilite
0,308,0,0,65,1,4,Troilite
0,231,0,0,75,2,1,Troilite
0,213,0,0,73,0,2,Troilite
0,158,0,0,79,1,6,Troilite
0,295,0,0,84,0,5,Troilite
0,249,0,0,61,2,6,Troilite
0,241,0,1,76,1,3,Troilite
0,258,0,1,83,2,4,Troilite
0,147,0,0,76,1,5,Troilite
0,261,0,0,66,1,1,Troilite
0,82,0,0,72,0,6,Troilite
0,314,0,1,78,0,4,Troilite
1,353,0,1,106,0,8,Troilite
0,181,0,0,70,0,2,Troilite
1,88,0,0,63,0,2,Troilite
1,187,0,1,86,0,6,Troilite
0,48,0,1,81,0,3,Troilite
0,41,0,0,79,0,3,Troilite
0,102,0,0,95,1,2,Troilite
0,402,0,0,101,1,1,Troilite
0,13,0,1,69,1,2,Troilite
0,279,0,0,61,0,4,Troilite
0,315,0,0,79,0,4,Troilite
0,104,0,2,80,0,3,Troilite
0,141,0,0,60,0,3,Troilite
0,265,0,0,70,1,3,Troilite
0,247,0,0,78,2,2,Troilite
0,68,0,0,76,0,2,Troilite
0,214,0,1,84,0,2,Troilite
0,314,0,0,87,0,7,Troilite
0,96,0,0,92,0,2,Troilite
0,122,0,1,63,0,3,Troilite
0,208,0,0,70,1,5,Troilite
0,299,0,1,84,1,4,Troilite
0,233,0,1,71,2,5,Troilite
0,119,0,0,84,2,1,Troilite
1,188,0,0,89,0,2,Troilite
0,168,0,0,69,0,7,Troilite
0,343,0,0,79,1,0,Troilite
0,271,0,0,73,2,4,Troilite
0,143,0,0,83,2,2,Troilite
0,387,0,0,78,0,8,Troilite
0,184,0,0,69,0,6,Troilite
0,139,0,0,72,0,3,Troilite
1,400,0,2,86,0,2,Troilite
0,165,0,0,84,0,3,Troilite
0,135,0,2,69,0,3,Troilite
1,112,0,0,62,1,4,Troilite
0,308,0,0,84,0,3,Troilite
0,223,0,3,77,0,4,Troilite
0,311,0,1,76,0,1,Troilite
0,60,0,0,86,2,4,Troilite
1,183,0,0,77,1,4,Troilite
0,259,0,0,74,0,1,Troilite
0,288,0,0,85,1,0,Troilite
0,304,0,0,78,0,4,Troilite
0,0,0,0,76,1,2,Troilite
0,277,0,0,79,0,3,Troilite
0,308,0,0,78,2,0,Troilite
0,261,0,0,56,0,4,Troilite
0,200,0,0,70,0,7,Troilite
1,193,0,0,87,0,4,Troilite
0,178,0,0,81,1,4,Troilite
0,294,0,0,84,0,8,Troilite
0,228,0,0,69,1,8,Troilite
0,342,0,0,94,1,6,Troilite
0,306,0,0,82,0,3,Troilite
0,250,0,0,83,2,5,Troilite
0,231,0,0,70,2,3,Troilite
0,167,0,1,87,0,5,Troilite
0,232,0,0,85,0,2,Troilite
0,7,0,0,68,1,5,Troilite
0,155,0,2,76,0,4,Troilite
1,276,0,0,69,0,3,Troilite
0,293,0,4,85,0,1,Troilite
0,127,0,0,60,0,6,Troilite
1,356,0,0,86,0,7,Troilite
0,309,1,0,85,2,2,Troilite
0,296,0,1,71,1,1,Troilite
0,226,0,0,67,0,2,Troilite
1,247,0,1,77,1,1,Troilite
0,0,0,0,84,0,4,Troilite
1,293,1,0,73,0,1,Troilite
0,264,0,0,95,0,6,Troilite
0,0,0,0,78,0,1,Troilite
0,334,0,0,61,1,4,Troilite
0,205,0,0,68,1,4,Troilite
0,179,0,0,65,0,5,Troilite
0,187,0,0,62,2,4,Troilite
0,243,0,1,66,0,4,Troilite
0,107,0,2,89,1,4,Troilite
0,265,0,0,86,0,4,Troilite
0,82,0,0,77,1,7,Troilite
0,48,1,0,69,0,1,Troilite
1,108,0,0,87,0,5,Troilite
0,333,0,0,80,0,3,Troilite
0,292,0,0,66,2,3,Troilite
0,81,0,0,70,2,5,Troilite
0,116,0,1,79,0,3,Troilite
0,88,0,1,86,0,1,Troilite
0,289,0,0,65,2,4,Troilite
0,419,0,0,84,0,2,Troilite
1,226,0,1,78,0,3,Troilite
1,312,0,0,86,0,3,Troilite
1,422,0,2,85,0,2,Troilite
0,208,0,0,88,2,4,Troilite
0,169,0,1,73,0,2,Troilite
0,160,0,1,76,0,4,Troilite
0,164,0,2,88,0,4,Troilite
1,87,0,1,82,1,2,Troilite
0,233,0,0,69,0,6,Troilite
0,225,0,0,77,0,7,Troilite
0,139,0,0,73,0,3,Troilite
1,30,0,0,79,0,3,Troilite
0,452,0,0,75,0,4,Troilite
0,70,0,2,72,3,3,Troilite
1,270,0,1,82,0,6,Troilite
0,218,0,0,80,1,3,Troilite
1,441,0,2,90,1,2,Troilite
0,215,0,1,87,2,7,Troilite
0,106,0,0,67,0,3,Troilite
1,262,0,2,71,2,3,Troilite
0,163,0,3,79,0,2,Troilite
0,187,0,0,93,0,4,Troilite
0,170,0,0,70,0,3,Troilite
0,269,0,0,86,0,1,Troilite
1,150,0,0,79,0,6,Troilite
0,279,0,0,79,0,8,Troilite
0,160,0,1,80,0,5,Troilite
0,259,0,0,76,0,2,Troilite
1,335,0,0,72,1,2,Troilite
0,0,0,1,91,1,4,Troilite
1,151,0,0,78,1,4,Troilite
0,226,0,0,81,0,2,Troilite
0,154,0,0,72,0,9,Troilite
0,189,0,2,84,1,3,Troilite
0,244,0,0,78,0,5,Troilite
0,86,0,0,69,0,4,Troilite
0,92,0,0,79,2,3,Troilite
0,337,0,0,74,1,5,Troilite
0,378,0,1,68,1,4,Troilite
0,138,0,2,83,0,3,Troilite
1,82,0,1,79,1,3,Troilite
1,226,0,0,73,1,3,Troilite
0,298,0,0,74,1,3,Troilite
0,183,0,0,90,0,4,Troilite
0,311,0,1,49,2,0,Troilite
0,224,0,0,65,0,4,Troilite
0,199,0,0,59,0,3,Troilite
0,255,0,0,67,1,4,Troilite
0,246,0,2,72,1,0,Troilite
0,171,0,0,67,1,5,Troilite
1,109,0,2,64,0,3,Troilite
0,26,0,0,80,1,4,Troilite
0,208,0,0,86,1,6,Troilite
0,213,0,0,89,0,4,Troilite
0,150,0,0,68,0,5,Troilite
0,277,1,0,84,1,1,Troilite
0,260,0,0,84,0,4,Troilite
1,173,0,0,77,1,6,Troilite
0,106,0,0,85,1,7,Troilite
0,52,0,0,77,1,0,Troilite
0,95,0,0,67,2,8,Troilite
0,289,0,0,76,2,0,Troilite
1,416,0,0,85,0,0,Troilite
1,396,0,1,79,0,3,Troilite
0,499,0,1,69,0,0,Troilite
1,106,0,2,74,0,3,Troilite
0,276,0,1,83,0,6,Troilite
0,206,0,1,83,0,0,Troilite
0,171,0,0,69,1,0,Troilite
1,92,0,0,57,0,4,Troilite
2,63,0,0,68,0,3,Troilite
1,228,0,1,68,0,3,Troilite
0,122,0,1,67,1,2,Troilite
0,132,0,0,80,1,3,Troilite
0,225,0,0,78,0,5,Troilite
0,0,0,0,63,1,0,Troilite
0,256,0,1,62,1,7,Troilite
1,56,0,1,77,0,9,Troilite
0,268,0,3,79,0,3,Troilite
0,141,0,1,73,0,1,Troilite
0,241,0,0,83,0,3,Troilite
0,318,0,0,79,1,4,Troilite
2,87,0,1,79,1,3,Troilite
0,318,1,0,67,0,5,Troilite
0,130,0,0,83,1,1,Troilite
0,233,0,1,68,0,6,Troilite
0,107,0,1,71,1,10,Troilite
0,54,0,0,82,0,8,Troilite
0,87,0,1,77,1,6,Troilite
0,335,0,1,76,0,3,Troilite
0,150,0,1,89,0,9,Troilite
0,340,0,0,73,0,6,Troilite
0,194,0,0,82,2,4,Troilite
0,307,0,2,80,2,2,Troilite
0,276,0,1,79,0,1,Troilite
0,127,0,0,84,0,3,Troilite
0,149,0,0,78,1,4,Troilite
1,116,0,0,61,0,1,Troilite
0,193,0,0,64,2,5,Troilite
0,99,0,0,84,3,2,Troilite
0,281,0,0,80,2,6,Troilite
0,318,0,1,76,0,1,Troilite
0,315,0,0,88,1,4,Troilite
0,190,0,0,75,3,7,Troilite
1,57,0,0,68,1,4,Troilite
0,269,0,0,80,2,4,Troilite
1,360,0,0,88,0,2,Troilite
0,197,0,1,74,2,1,Troilite
0,124,0,1,73,1,3,Troilite
1,245,0,1,81,1,1,Troilite
0,0,0,0,71,1,7,Troilite
0,285,0,0,68,0,2,Troilite
0,184,0,0,84,0,0,Troilite
1,28,0,0,67,2,0,Troilite
0,90,0,0,71,1,2,Troilite
1,287,0,2,74,0,4,Troilite
0,57,0,1,71,1,5,Troilite
0,291,0,0,67,0,0,Troilite
0,167,0,0,73,0,5,Troilite
0,99,0,0,75,1,5,Troilite
0,167,0,0,71,3,1,Troilite
0,245,0,0,78,0,0,Troilite
1,196,0,0,72,1,4,Troilite
0,44,0,1,69,0,2,Troilite
0,299,0,0,84,0,6,Troilite
1,18,0,0,64,0,3,Troilite
0,213,0,0,70,0,2,Troilite
0,167,0,1,83,0,7,Troilite
0,291,0,0,66,1,2,Troilite
1,269,0,0,74,1,5,Troilite
0,354,0,1,82,0,2,Troilite
0,376,0,0,84,0,5,Troilite
0,122,0,0,84,0,1,Troilite
0,331,0,0,89,1,8,Troilite
2,149,0,0,71,0,2,Troilite
0,174,0,2,74,0,4,Troilite
0,167,0,0,67,2,4,Troilite
0,298,0,0,77,1,3,Troilite
1,223,0,0,77,2,2,Troilite
0,0,0,0,75,2,3,Troilite
0,157,0,0,77,1,3,Troilite
0,100,0,0,75,0,0,Troilite
0,104,0,0,68,0,4,Troilite
0,265,0,0,82,0,6,Troilite
1,166,0,2,88,2,3,Troilite
0,140,0,1,60,2,6,Troilite
0,232,0,0,63,0,4,Troilite
0,242,0,0,74,0,4,Troilite
0,44,0,2,83,0,0,Troilite
0,95,0,0,71,1,3,Troilite
0,311,0,0,78,1,5,Troilite
1,221,0,1,79,0,3,Troilite
0,281,0,0,88,1,1,Troilite
0,180,0,2,77,2,2,Troilite
1,167,0,0,72,1,4,Troilite
0,142,0,0,76,0,7,Troilite
0,262,0,1,82,3,4,Troilite
